epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11293.3,1.41797,1.23496,1.63417,0.71215,0.53841,0.60807,0.26003,2.02012,1.50427,2.29183,0.000990365,0.000990365,0.000990365
43,11546.4,1.41621,1.27127,1.63578,0.6027,0.55064,0.53223,0.24221,2.04678,1.60022,2.33344,0.000973861,0.000973861,0.000973861
44,11792.9,1.39561,1.22858,1.62498,0.60117,0.55807,0.53861,0.24085,1.97431,1.47561,2.31982,0.000957358,0.000957358,0.000957358
45,12036.8,1.40206,1.1935,1.62926,0.55927,0.51845,0.4677,0.20666,2.0872,1.75236,2.4271,0.000940855,0.000940855,0.000940855
46,12293.3,1.3697,1.17321,1.5881,0.63924,0.60594,0.62291,0.27759,1.97645,1.37674,2.26523,0.000924352,0.000924352,0.000924352
47,12550.2,1.36181,1.19716,1.58443,0.75976,0.5739,0.59055,0.26127,2.02408,1.53675,2.34816,0.000907848,0.000907848,0.000907848
48,12811.6,1.3797,1.22766,1.60898,0.74197,0.47907,0.55273,0.19579,2.42564,1.8248,2.8322,0.000891345,0.000891345,0.000891345
49,13071.9,1.33274,1.14733,1.5732,0.63856,0.4983,0.54999,0.23133,2.06799,1.54956,2.42613,0.000874842,0.000874842,0.000874842
50,13339.6,1.34096,1.15949,1.58715,0.57763,0.50398,0.51265,0.23584,2.1025,1.54199,2.41121,0.000858338,0.000858338,0.000858338
51,13605.4,1.30486,1.1142,1.55505,0.64374,0.52259,0.5705,0.22982,2.23073,1.60899,2.51679,0.000841835,0.000841835,0.000841835
52,13872.3,1.32773,1.14236,1.56419,0.58393,0.56618,0.52263,0.231,2.19681,1.55038,2.5315,0.000825332,0.000825332,0.000825332
53,14134.2,1.33725,1.12579,1.57382,0.66971,0.52362,0.56067,0.23452,2.13383,1.7294,2.5175,0.000808828,0.000808828,0.000808828
54,14405.3,1.34476,1.14006,1.57611,0.66163,0.50417,0.5563,0.26789,2.05947,1.5467,2.35963,0.000792325,0.000792325,0.000792325
55,14659,1.27795,1.07,1.52724,0.63258,0.44457,0.49542,0.21821,2.17193,1.80531,2.42039,0.000775822,0.000775822,0.000775822
56,14916.2,1.28961,1.10397,1.53368,0.73352,0.47455,0.54295,0.23554,2.11945,1.61776,2.45501,0.000759318,0.000759318,0.000759318
57,15164.7,1.30423,1.12073,1.54215,0.66899,0.57127,0.55189,0.23719,2.14718,1.49922,2.51818,0.000742815,0.000742815,0.000742815
58,15400.6,1.27904,1.02687,1.52258,0.71007,0.43552,0.53164,0.24224,2.02759,1.62449,2.2883,0.000726312,0.000726312,0.000726312
59,15636.9,1.24309,1.04893,1.497,0.74465,0.52931,0.54119,0.20632,2.19011,1.58396,2.63799,0.000709809,0.000709809,0.000709809
60,15874.9,1.24951,1.02908,1.49401,0.77539,0.54767,0.60288,0.24611,2.1187,1.66317,2.4783,0.000693305,0.000693305,0.000693305
61,16110.7,1.23318,1.02915,1.48777,0.57504,0.50905,0.48504,0.2041,2.13717,1.62667,2.58962,0.000676802,0.000676802,0.000676802
62,16347.5,1.19427,0.99543,1.45785,0.64039,0.50396,0.55604,0.2479,1.99678,1.51941,2.46893,0.000660299,0.000660299,0.000660299
63,16586.7,1.2068,1.0011,1.47115,0.54162,0.56479,0.58043,0.23679,2.10748,1.5336,2.6592,0.000643795,0.000643795,0.000643795
64,16823.8,1.19566,0.9879,1.46368,0.54085,0.68326,0.59272,0.25994,2.03268,1.39292,2.52427,0.000627292,0.000627292,0.000627292
65,17061.5,1.17965,0.96341,1.43503,0.65163,0.57879,0.57408,0.24623,2.15187,1.56998,2.47458,0.000610789,0.000610789,0.000610789
66,17298.1,1.17513,0.98257,1.43402,0.60201,0.49709,0.51853,0.23224,2.09421,1.54938,2.60904,0.000594286,0.000594286,0.000594286
67,17535.4,1.15234,0.93417,1.41042,0.73542,0.49321,0.53873,0.23641,2.15224,1.61319,2.58127,0.000577782,0.000577782,0.000577782
68,17775.5,1.14781,0.93897,1.41598,0.63662,0.57692,0.56902,0.23409,2.17703,1.53571,2.71204,0.000561279,0.000561279,0.000561279
69,18016.5,1.15953,0.93601,1.41526,0.6238,0.46946,0.50961,0.23289,2.09924,1.67395,2.42159,0.000544776,0.000544776,0.000544776
70,18257.6,1.12042,0.94207,1.40224,0.83675,0.44849,0.56996,0.2533,2.03956,1.5631,2.53801,0.000528272,0.000528272,0.000528272
71,18499.4,1.09886,0.91313,1.38107,0.83795,0.5379,0.64807,0.29143,2.05547,1.48137,2.50097,0.000511769,0.000511769,0.000511769
72,18738.9,1.12484,0.90232,1.39693,0.65015,0.57656,0.60651,0.26817,2.0323,1.41883,2.47437,0.000495266,0.000495266,0.000495266
73,18977.9,1.13709,0.94691,1.4183,0.69853,0.55561,0.54387,0.23649,2.09597,1.64613,2.50667,0.000478762,0.000478762,0.000478762
74,19217.2,1.09069,0.86533,1.37326,0.64854,0.48416,0.49681,0.2175,2.19282,1.66917,2.65796,0.000462259,0.000462259,0.000462259
75,19456.9,1.1478,0.93686,1.42386,0.67786,0.42647,0.4392,0.1759,2.23934,1.7231,2.89366,0.000445756,0.000445756,0.000445756
76,19698.4,1.08852,0.87986,1.36329,0.75151,0.50807,0.57944,0.2791,1.98578,1.4816,2.41935,0.000429253,0.000429253,0.000429253
77,19937.7,1.07011,0.86444,1.35944,0.68003,0.45809,0.50319,0.21011,2.16377,1.69536,2.64884,0.000412749,0.000412749,0.000412749
78,20177.3,1.04961,0.8552,1.34876,0.78901,0.49378,0.5744,0.26036,1.9895,1.54084,2.41273,0.000396246,0.000396246,0.000396246
79,20420.1,1.04795,0.84739,1.3377,0.74756,0.53281,0.60866,0.26375,1.99442,1.45808,2.48453,0.000379743,0.000379743,0.000379743
